id,name,genres,year,countries,directors,actors,duration_minutes,plot,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,processed_rating,poster_path
254,Once Upon a Time in... Hollywood,"娱乐圈剧情片,时代剧,喜剧,戏剧",2019.0,"United States,United Kingdom,China",Quentin Tarantino,"Top cast99+,Edit,Leonardo DiCaprio,Rick Dalton,Brad Pitt",161.0,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",11.6,16.8,29.5,22.5,9.7,4.1,1.9,1.2,0.9,1.6,7.6,data/imdb_posters/254.jpg
255,The Conjuring: The Devil Made Me Do It,"悬疑推理,民间恐怖片,超自然恐怖,恐怖,惊悚片,推理片",2021.0,United States,Michael Chaves,"Top cast59,Edit,Patrick Wilson,Ed Warren,Vera Farmiga",112.0,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence.",7.8,4.0,11.5,25.7,27.6,13.3,5.2,2.3,1.1,1.4,6.3,data/imdb_posters/255.jpg
256,Spider & Jessie,"Whodunnit,心理惊悚片,惊悚片,戏剧,推理片",2025.0,United States,Dan Kay,"Top cast45,Edit,Mckenna Grace,Spider,Jojo Regina",102.0,"After their mother suffers a fatal overdose, two sisters fear that the foster system will separate them and decide to hide the body. But their lie may be discovered and they must decide how far they are willing to go to keep their secret.",21.7,4.2,9.3,16.4,21.4,10.6,4.3,1.4,2.5,8.0,6.2,data/imdb_posters/256.jpg
257,Sawt Hind Rajab,戏剧,2025.0,"Tunisia,France,United States",Kaouther Ben Hania,"Top cast4,Edit,Saja Kilani,Rana Hassan Faqih,Motaz Malhees",89.0,"Red Crescent volunteers receive an emergency call. A 6-year old girl is trapped in a car under IDF fire in Gaza, pleading for rescue. While trying to keep her on the line, they do everything they can to get an ambulance to her.",86.1,2.1,1.2,1.2,0.6,0.5,0.5,0.3,0.5,7.0,9.0,data/imdb_posters/257.jpg
258,KPop Demon Hunters,"流行音乐剧,电脑动画,冒险,动画,喜剧,家庭,幻想,行动,音乐,音乐剧",2025.0,"United States,Canada","Chris Appelhans,Maggie Kang","Top cast43,Edit,Arden Cho,Rumi,May Hong",95.0,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,25.6,15.2,25.4,19.2,7.3,2.5,1.0,0.6,0.5,2.6,7.6,data/imdb_posters/258.jpg
259,F1,"赛车运动,飙车动作片,戏剧,行动,运动",2025.0,United States,Joseph Kosinski,"Top cast99+,Edit,Brad Pitt,Sonny Hayes,Damson Idris",155.0,A Formula One driver comes out of retirement to mentor and team up with a younger driver.,17.4,19.0,32.9,19.7,6.5,2.1,0.8,0.5,0.3,0.7,7.8,data/imdb_posters/259.jpg
260,The Conjuring: Last Rites,"超自然恐怖,恐怖,惊悚片,推理片",2025.0,"United States,United Kingdom,Canada",Michael Chaves,"Top cast52,Edit,Patrick Wilson,Ed Warren,Vera Farmiga",135.0,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,14.1,5.3,13.3,24.6,22.0,10.1,4.2,2.3,1.3,2.7,6.5,data/imdb_posters/260.jpg
261,Black Bag,"心理惊悚片,间谍,惊悚片,戏剧,推理片,爱情片",2025.0,United States,Steven Soderbergh,"Top cast21,Edit,Michael Fassbender,George Woodhouse,Gustaf Skarsgård",93.0,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country.",6.1,5.1,18.7,32.0,21.8,8.6,3.3,1.7,1.0,1.7,6.7,data/imdb_posters/261.jpg
262,Weapons,"女巫恐怖片,心理恐怖片,超自然恐怖,黑色喜剧,恐怖,推理片",2025.0,United States,Zach Cregger,"Top cast52,Edit,Julia Garner,Justine,Josh Brolin",128.0,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",11.0,16.8,33.6,22.1,8.6,3.3,1.5,0.9,0.6,1.5,7.7,data/imdb_posters/262.jpg
263,I Know What You Did Last Summer,"Slasher Horror,恐怖",2025.0,"United States,Australia,Canada",Jennifer Kaytin Robinson,"Top cast31,Edit,Madelyn Cline,Danica Richards,Chase Sui Wonders",111.0,A group of friends are terrorised by a stalker who knows about a gruesome incident from their past.,6.4,2.1,5.9,12.5,21.9,20.7,12.2,7.1,4.5,6.6,5.2,data/imdb_posters/263.jpg
264,Sinners,"吸血鬼恐怖片,时代剧,民间恐怖片,超自然恐怖,恐怖,惊悚片,戏剧,行动,音乐",2025.0,"United States,Australia,Canada",Ryan Coogler,"Top cast38,Edit,Michael B. Jordan,Smoke,Miles Caton",137.0,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",16.0,17.6,27.2,19.9,9.4,4.0,1.9,1.1,0.8,2.0,7.6,data/imdb_posters/264.jpg
265,The Conjuring,"悬疑推理,超自然恐怖,恐怖,惊悚片,推理片",2013.0,United States,James Wan,"Top cast65,Edit,Patrick Wilson,Ed Warren,Vera Farmiga",112.0,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,12.8,14.5,30.6,25.3,9.9,3.5,1.4,0.7,0.4,0.7,7.5,data/imdb_posters/265.jpg
266,Eojjeolsuga eobsda,"Caper,讽刺,黑色喜剧,喜剧,惊悚片,戏剧,犯罪",2025.0,South Korea,Park Chan-wook,"Top cast11,Edit,Lee Byung-hun,Man-soo,Son Ye-jin",139.0,"After being unemployed for several years, a man devises a unique plan to secure a new job: eliminate his competition.",41.1,12.3,19.1,10.0,3.4,0.9,0.3,0.0,0.9,12.0,8.1,data/imdb_posters/266.jpg
267,The Hunger Games: Mockingjay - Part 1,"反乌托邦科幻,冒险,惊悚片,科幻,行动",2014.0,"United States,Canada,France",Francis Lawrence,"Top cast99+,Edit,Jennifer Lawrence,Katniss Everdeen,Josh Hutcherson",123.0,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.",7.8,6.2,16.3,30.0,22.9,9.1,3.5,1.6,0.9,1.7,6.6,data/imdb_posters/267.jpg
268,The Naked Gun,"恶搞片,笨拙侦探,讽刺,闹剧,喜剧,犯罪,行动",2025.0,"United States,Canada",Akiva Schaffer,"Top cast83,Edit,Liam Neeson,Frank Drebin Jr.,Pamela Anderson",85.0,Only one man has the particular set of skills - to lead Police Squad and save the world.,7.4,6.4,18.2,29.0,19.2,8.7,4.0,2.5,1.8,3.0,6.6,data/imdb_posters/268.jpg
269,Wind River,"Whodunnit,当代西部片,悲剧,警察剧情片,惊悚片,戏剧,推理片,犯罪,西部片",2017.0,"United Kingdom,France,United States,Canada",Taylor Sheridan,"Top cast37,Edit,Elizabeth Olsen,Jane Banner,Jeremy Renner",107.0,A wildlife officer helps an FBI agent investigate a murder on an American Indian reservation.,9.0,15.9,38.4,25.9,7.2,2.0,0.6,0.3,0.2,0.4,7.7,data/imdb_posters/269.jpg
270,Mission: Impossible - The Final Reckoning,"冒险史诗,动作史诗,间谍,冒险,惊悚片,行动",2025.0,"United Kingdom,United States",Christopher McQuarrie,"Top cast93,Edit,Tom Cruise,Ethan Hunt,Hayley Atwell",169.0,"Hunt and the IMF pursue a dangerous AI called the Entity that's infiltrated global intelligence. With governments and a figure from his past in pursuit, Hunt races to stop it from forever changing the world.",13.1,11.7,26.4,26.5,12.3,4.8,2.0,1.1,0.7,1.3,7.3,data/imdb_posters/270.jpg
271,The Life of Chuck,"幻想,戏剧,科幻",2024.0,United States,Mike Flanagan,"Top cast55,Edit,Tom Hiddleston,Charles 'Chuck' Krantz,Jacob Tremblay",111.0,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",12.7,14.3,27.9,23.4,11.1,4.8,1.9,1.2,0.9,1.9,7.4,data/imdb_posters/271.jpg
272,Jurassic World: Rebirth,"恐龙冒险片,冒险,惊悚片,科幻,行动",2025.0,"United States,United Kingdom,Malta,India,Taiwan",Gareth Edwards,"Top cast18,Edit,Scarlett Johansson,Zora Bennett,Mahershala Ali",133.0,"Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",5.7,3.0,9.3,21.7,26.1,15.6,7.6,4.3,2.7,4.0,5.9,data/imdb_posters/272.jpg
273,Dracula: A Love Tale,"吸血鬼恐怖片,超自然奇幻,幻想,恐怖,爱情片",2025.0,France,Luc Besson,"Top cast44,Edit,Caleb Landry Jones,Vlad,Christoph Waltz",129.0,"After his wife dies, a 15th century prince renounces God and becomes a vampire. Centuries later in 19th century London, he sees a woman resembling his late wife and pursues her, sealing his own fate.",16.0,6.4,13.6,19.9,17.2,9.4,5.9,3.5,2.3,5.8,6.2,data/imdb_posters/273.jpg
